kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_4.ptx 119 : 1856 21344 0 0 0 0 0 0 0 
_3.ptx 119 : 1898400 19425248 0 0 0 0 0 0 0 
_6.ptx 120 : 512 3072 0 0 0 0 0 0 0 
_4.ptx 120 : 1856 14560 0 0 0 0 0 0 0 
_3.ptx 120 : 1898400 21584384 0 0 0 0 0 0 0 
_6.ptx 121 : 512 3072 0 0 0 0 0 0 0 
_4.ptx 121 : 1856 14944 0 0 0 0 0 0 0 
_3.ptx 121 : 1898400 15947792 0 0 0 0 0 0 0 
_6.ptx 122 : 512 9472 0 0 0 0 0 0 0 
_4.ptx 122 : 1856 31872 0 0 0 0 0 0 0 
_3.ptx 122 : 1898400 11904624 0 0 0 0 0 0 0 
_6.ptx 123 : 512 3072 0 0 0 0 0 0 0 
_4.ptx 123 : 1856 13696 0 0 0 0 0 0 0 
_6.ptx 124 : 512 5664 0 0 0 0 0 0 0 
_4.ptx 124 : 1856 25504 0 0 0 0 0 0 0 
_6.ptx 125 : 512 4096 0 0 0 0 0 0 0 
_4.ptx 125 : 1856 14240 0 0 0 0 0 0 0 
_6.ptx 126 : 512 1536 0 0 0 0 0 0 0 
_4.ptx 126 : 1856 16704 0 0 0 0 0 0 0 
_3.ptx 126 : 21568 133408 0 0 0 0 0 0 0 
_6.ptx 127 : 512 4224 0 0 0 0 0 0 0 
_6.ptx 128 : 512 72 0 0 0 0 0 0 1 
_6.ptx 129 : 500 3512 0 0 0 0 0 0 0 
_4.ptx 129 : 9280 77248 0 0 0 0 0 0 0 
_6.ptx 130 : 500 6960 0 0 0 0 0 0 0 
_4.ptx 130 : 9280 109504 0 0 0 0 0 0 0 
_6.ptx 131 : 500 3756 0 0 0 0 0 0 0 
_4.ptx 131 : 9280 80032 0 0 0 0 0 0 0 
_6.ptx 132 : 500 7164 0 0 0 0 0 0 0 
_4.ptx 132 : 9280 72800 0 0 0 0 0 0 0 
_6.ptx 133 : 500 3852 0 0 0 0 0 0 0 
_4.ptx 133 : 9280 85664 0 0 0 0 0 0 0 
_6.ptx 134 : 500 1500 0 0 0 0 0 0 0 
_4.ptx 134 : 9280 69664 0 0 0 0 0 0 0 
_6.ptx 135 : 500 5532 0 0 0 0 0 0 0 
_4.ptx 135 : 9280 79456 0 0 0 0 0 0 0 
_6.ptx 136 : 500 6780 0 0 0 0 0 0 0 
_6.ptx 137 : 500 1840 0 0 0 0 0 0 0 
_6.ptx 138 : 500 5500 0 0 0 0 0 0 0 
_4.ptx 139 : 46400 0 0 0 0 0 0 0 0 
_4.ptx 140 : 46400 541952 0 0 0 0 0 0 0 
_4.ptx 141 : 46400 339136 0 0 0 0 0 0 0 
_6.ptx 142 : 500 120712 2048 0 0 16 16 0 0 
_4.ptx 142 : 46400 407008 0 0 0 0 0 0 0 
_6.ptx 143 : 500 3000 0 0 0 0 0 0 0 
_4.ptx 143 : 46400 0 0 0 0 0 0 0 0 
_6.ptx 144 : 500 10000 0 0 0 0 0 0 0 
_4.ptx 144 : 46400 403520 0 0 0 0 0 0 0 
