kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_4.ptx 95 : 3712 55936 0 0 0 0 0 0 0 
_6.ptx 95 : 500 5532 0 0 0 0 0 0 0 
_5.ptx 95 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 96 : 272356 2113701 0 0 0 0 0 0 0 
_4.ptx 96 : 3712 58336 0 0 0 0 0 0 0 
_6.ptx 96 : 500 2500 2048 0 0 16 16 0 0 
_5.ptx 96 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 97 : 272356 3343187 0 0 0 0 0 0 0 
_4.ptx 97 : 3712 41312 0 0 0 0 0 0 0 
_6.ptx 97 : 500 5500 0 0 0 0 0 0 0 
_5.ptx 97 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 98 : 272356 3108583 0 0 0 0 0 0 0 
_4.ptx 98 : 3712 58048 0 0 0 0 0 0 0 
_6.ptx 98 : 500 5052 0 0 0 0 0 0 0 
_5.ptx 98 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 99 : 272356 1626823 0 0 0 0 0 0 0 
_4.ptx 99 : 3712 41504 0 0 0 0 0 0 0 
_6.ptx 99 : 500 5500 0 0 0 0 0 0 0 
_5.ptx 99 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 100 : 272356 3474707 0 0 0 0 0 0 0 
_4.ptx 100 : 3712 27488 0 0 0 0 0 0 0 
_6.ptx 100 : 500 4096 0 0 0 0 0 0 0 
_3.ptx 101 : 272356 3139197 0 0 0 0 0 0 0 
_4.ptx 101 : 3712 55936 0 0 0 0 0 0 0 
_6.ptx 101 : 500 0 0 0 0 0 0 0 0 
_3.ptx 102 : 272356 2143525 0 0 0 0 0 0 0 
_4.ptx 102 : 3712 41472 0 0 0 0 0 0 0 
_5.ptx 102 : 3680 714784 0 0 0 0 0 0 0 
_3.ptx 103 : 272356 3229291 0 0 0 0 0 0 0 
_4.ptx 103 : 3712 0 0 0 0 0 0 0 0 
_5.ptx 103 : 3680 30368 0 0 0 0 0 0 0 
_3.ptx 104 : 272356 3122215 0 0 0 0 0 0 0 
_4.ptx 104 : 3712 11136 0 0 0 0 0 0 0 
_6.ptx 104 : 512 3104 0 0 0 0 0 0 0 
_5.ptx 104 : 3680 40800 0 0 0 0 0 0 0 
_3.ptx 105 : 272356 2290426 0 0 0 0 0 0 0 
_4.ptx 105 : 3712 55936 0 0 0 0 0 0 0 
_5.ptx 105 : 3680 29664 0 0 0 0 0 0 0 
_3.ptx 106 : 272356 2083059 0 0 0 0 0 0 0 
_4.ptx 106 : 3712 11136 0 0 0 0 0 0 0 
_5.ptx 106 : 3680 2688 0 0 0 0 0 0 18 
_3.ptx 107 : 272356 3106543 0 0 0 0 0 0 0 
_4.ptx 107 : 3712 41504 0 0 0 0 0 0 0 
_3.ptx 108 : 272356 3105512 0 0 0 0 0 0 0 
_4.ptx 108 : 3712 59744 0 0 0 0 0 0 0 
_5.ptx 108 : 3232 35680 0 0 0 0 0 0 0 
_3.ptx 109 : 272356 87238106 1089664 0 0 18254 10070 0 0 
_4.ptx 109 : 3712 41664 0 0 0 0 0 0 0 
_5.ptx 109 : 3232 499200 0 0 0 0 0 0 0 
_3.ptx 110 : 272356 2061948 0 0 0 0 0 0 0 
_4.ptx 110 : 3712 11136 0 0 0 0 0 0 0 
_5.ptx 110 : 3232 33424 0 0 0 0 0 0 0 
_4.ptx 111 : 3712 66400 0 0 0 0 0 0 0 
_5.ptx 111 : 3232 20288 0 0 0 0 0 0 0 
_4.ptx 112 : 3712 41440 0 0 0 0 0 0 0 
_4.ptx 113 : 3712 11168 0 0 0 0 0 0 0 
_5.ptx 113 : 448 2688 0 0 0 0 0 0 0 
_3.ptx 114 : 2559720 166227455 1817472 0 0 674596 481324 0 0 
_4.ptx 114 : 3712 11168 0 0 0 0 0 0 0 
_3.ptx 115 : 2559720 379669064 240000 0 0 491390 481324 0 0 
_4.ptx 115 : 3712 64544 0 0 0 0 0 0 0 
_5.ptx 115 : 3680 29760 0 0 0 0 0 0 0 
_5.ptx 116 : 3680 40800 0 0 0 0 0 0 0 
_3.ptx 116 : 2559720 23310618 0 0 0 0 0 0 0 
_4.ptx 116 : 3712 42112 0 0 0 0 0 0 0 
_5.ptx 117 : 3680 29856 0 0 0 0 0 0 0 
_3.ptx 117 : 2559720 75357115 0 0 0 712108 481324 0 0 
_4.ptx 117 : 3712 28896 0 0 0 0 0 0 0 
_5.ptx 118 : 3680 2758 0 0 0 0 0 0 115 
_3.ptx 118 : 2559720 26306585 0 0 0 0 0 0 0 
_4.ptx 118 : 3712 58816 0 0 0 0 0 0 0 
_3.ptx 119 : 2559720 26274665 0 0 0 0 0 0 0 
_4.ptx 119 : 3712 43136 0 0 0 0 0 0 0 
_5.ptx 120 : 3240 35968 0 0 0 0 0 0 0 
_3.ptx 120 : 2559720 29156176 0 0 0 0 0 0 0 
_4.ptx 120 : 3712 29952 0 0 0 0 0 0 0 
_6.ptx 120 : 512 3072 0 0 0 0 0 0 0 
_5.ptx 121 : 3240 9720 0 0 0 0 0 0 0 
_3.ptx 121 : 2559720 21565421 0 0 0 0 0 0 0 
_4.ptx 121 : 3712 30176 0 0 0 0 0 0 0 
_6.ptx 121 : 512 3072 0 0 0 0 0 0 0 
_5.ptx 122 : 3240 550356 0 0 0 0 0 0 0 
_3.ptx 122 : 2559720 14555512 0 0 0 0 0 0 0 
_4.ptx 122 : 3712 55328 0 0 0 0 0 0 0 
_6.ptx 122 : 512 9472 0 0 0 0 0 0 0 
_5.ptx 123 : 3240 32738 0 0 0 0 0 0 0 
_4.ptx 123 : 3712 28384 0 0 0 0 0 0 0 
_6.ptx 123 : 512 3072 0 0 0 0 0 0 0 
_5.ptx 124 : 3240 19440 0 0 0 0 0 0 0 
_4.ptx 124 : 3712 46688 0 0 0 0 0 0 0 
_6.ptx 124 : 512 5696 0 0 0 0 0 0 0 
_4.ptx 125 : 3712 27968 0 0 0 0 0 0 0 
_6.ptx 125 : 512 3776 0 0 0 0 0 0 0 
_5.ptx 126 : 440 2676 0 0 0 0 0 0 0 
_3.ptx 126 : 489536 3240032 0 0 0 0 0 0 0 
_4.ptx 126 : 3712 31936 0 0 0 0 0 0 0 
_6.ptx 126 : 512 1536 0 0 0 0 0 0 0 
_6.ptx 127 : 512 4288 0 0 0 0 0 0 0 
_6.ptx 128 : 512 84 0 0 0 0 0 0 1 
_5.ptx 129 : 3680 25760 0 0 0 0 0 0 0 
_4.ptx 129 : 18560 153472 0 0 0 0 0 0 0 
_6.ptx 129 : 500 3604 0 0 0 0 0 0 0 
_5.ptx 130 : 3680 559936 0 0 0 0 0 0 0 
_4.ptx 130 : 18560 219936 0 0 0 0 0 0 0 
_6.ptx 130 : 500 6456 0 0 0 0 0 0 0 
