kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_4.ptx 95 : 3712 55488 0 0 0 0 0 0 0 
_6.ptx 95 : 500 5532 0 0 0 0 0 0 0 
_5.ptx 95 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 96 : 272356 2141004 0 0 0 0 0 0 0 
_4.ptx 96 : 3712 58848 0 0 0 0 0 0 0 
_6.ptx 96 : 500 2500 2048 0 0 16 16 0 0 
_5.ptx 96 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 97 : 272356 3366514 0 0 0 0 0 0 0 
_4.ptx 97 : 3712 41344 0 0 0 0 0 0 0 
_6.ptx 97 : 500 5616 0 0 0 0 0 0 0 
_5.ptx 97 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 98 : 272356 3119668 0 0 0 0 0 0 0 
_4.ptx 98 : 3712 57536 0 0 0 0 0 0 0 
_6.ptx 98 : 500 5064 0 0 0 0 0 0 0 
_5.ptx 98 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 99 : 272356 1230055 0 0 0 0 0 0 0 
_4.ptx 99 : 3712 41280 0 0 0 0 0 0 0 
_6.ptx 99 : 500 5532 0 0 0 0 0 0 0 
_5.ptx 99 : 3680 11040 0 0 0 0 0 0 0 
_3.ptx 100 : 272356 3499621 0 0 0 0 0 0 0 
_4.ptx 100 : 3712 27296 0 0 0 0 0 0 0 
_6.ptx 100 : 500 4128 0 0 0 0 0 0 0 
_3.ptx 101 : 272356 3155063 0 0 0 0 0 0 0 
_4.ptx 101 : 3712 55712 0 0 0 0 0 0 0 
_6.ptx 101 : 500 0 0 0 0 0 0 0 0 
_3.ptx 102 : 272356 2167435 0 0 0 0 0 0 0 
_4.ptx 102 : 3712 41088 0 0 0 0 0 0 0 
_5.ptx 102 : 3680 715008 0 0 0 0 0 0 0 
_3.ptx 103 : 272356 3258521 0 0 0 0 0 0 0 
_4.ptx 103 : 3712 0 0 0 0 0 0 0 0 
_5.ptx 103 : 3680 30336 0 0 0 0 0 0 0 
_3.ptx 104 : 272356 3148533 0 0 0 0 0 0 0 
_4.ptx 104 : 3712 11136 0 0 0 0 0 0 0 
_6.ptx 104 : 512 3136 0 0 0 0 0 0 0 
_5.ptx 104 : 3680 40928 0 0 0 0 0 0 0 
_3.ptx 105 : 272356 1762269 0 0 0 0 0 0 0 
_4.ptx 105 : 3712 56384 0 0 0 0 0 0 0 
_5.ptx 105 : 3680 29632 0 0 0 0 0 0 0 
_3.ptx 106 : 272356 2093161 0 0 0 0 0 0 0 
_4.ptx 106 : 3712 11136 0 0 0 0 0 0 0 
_5.ptx 106 : 3680 2688 0 0 0 0 0 0 18 
_3.ptx 107 : 272356 3104059 0 0 0 0 0 0 0 
_4.ptx 107 : 3712 41216 0 0 0 0 0 0 0 
_3.ptx 108 : 272356 3116267 0 0 0 0 0 0 0 
_4.ptx 108 : 3712 60128 0 0 0 0 0 0 0 
_5.ptx 108 : 3232 35712 0 0 0 0 0 0 0 
_3.ptx 109 : 272356 55762261 1089664 0 0 18254 10070 0 0 
_4.ptx 109 : 3712 41344 0 0 0 0 0 0 0 
_5.ptx 109 : 3232 500160 0 0 0 0 0 0 0 
_3.ptx 110 : 272356 2077087 0 0 0 0 0 0 0 
_4.ptx 110 : 3712 11136 0 0 0 0 0 0 0 
_5.ptx 110 : 3232 33280 0 0 0 0 0 0 0 
_4.ptx 111 : 3712 70144 0 0 0 0 0 0 0 
_5.ptx 111 : 3232 20400 0 0 0 0 0 0 0 
_4.ptx 112 : 3712 41152 0 0 0 0 0 0 0 
_4.ptx 113 : 3712 11136 0 0 0 0 0 0 0 
_5.ptx 113 : 448 2720 0 0 0 0 0 0 0 
_3.ptx 114 : 2559720 141875662 1813120 0 0 674596 481324 0 0 
_4.ptx 114 : 3712 11136 0 0 0 0 0 0 0 
_3.ptx 115 : 2559720 312836021 239616 0 0 491390 481324 0 0 
_4.ptx 115 : 3712 65120 0 0 0 0 0 0 0 
_5.ptx 115 : 3680 29696 0 0 0 0 0 0 0 
_5.ptx 116 : 3680 40640 0 0 0 0 0 0 0 
_3.ptx 116 : 2559720 23377490 0 0 0 0 0 0 0 
_4.ptx 116 : 3712 41536 0 0 0 0 0 0 0 
_5.ptx 117 : 3680 29824 0 0 0 0 0 0 0 
_3.ptx 117 : 2559720 64525266 0 0 0 712108 481324 0 0 
_4.ptx 117 : 3712 29152 0 0 0 0 0 0 0 
